caller_id,receiver_id,caller_phone,receiver_phone,timestamp,duration_sec,call_type
P032,P016,+91-90000-10032,+91-90000-10016,2026-07-23 22:26:00,174,voice
P008,P006,+91-90000-10008,+91-90000-10006,2026-06-02 07:29:00,677,voice
P019,P005,+91-90000-10019,+91-90000-10005,2026-07-14 18:21:00,502,voice
P007,P006,+91-90000-10007,+91-90000-10006,2026-08-12 15:31:00,688,voice
P005,P002,+91-90000-10005,+91-90000-10002,2026-08-05 03:01:00,266,voice
P002,P003,+91-90000-10002,+91-90000-10003,2026-08-21 06:49:00,41,voice
P003,P005,+91-90000-10003,+91-90000-10005,2026-08-08 16:33:00,117,voice
P006,P004,+91-90000-10006,+91-90000-10004,2026-07-20 07:44:00,269,voice
P001,P013,+91-90000-10001,+91-90000-10013,2026-06-08 21:02:00,353,voice
P001,P005,+91-90000-10001,+91-90000-10005,2026-07-16 23:02:00,86,voice
P010,P007,+91-90000-10010,+91-90000-10007,2026-07-15 01:10:00,594,voice
P007,P009,+91-90000-10007,+91-90000-10009,2026-06-07 10:27:00,33,voice
P008,P007,+91-90000-10008,+91-90000-10007,2026-07-08 05:41:00,377,voice
P004,P006,+91-90000-10004,+91-90000-10006,2026-07-12 10:04:00,769,voice
P006,P007,+91-90000-10006,+91-90000-10007,2026-06-20 09:56:00,141,voice
P004,P003,+91-90000-10004,+91-90000-10003,2026-08-24 10:29:00,181,voice
P010,P009,+91-90000-10010,+91-90000-10009,2026-06-06 07:47:00,193,voice
P001,P006,+91-90000-10001,+91-90000-10006,2026-08-15 01:50:00,442,voice
P050,P038,+91-90000-10050,+91-90000-10038,2026-07-23 20:32:00,175,voice
P001,P005,+91-90000-10001,+91-90000-10005,2026-07-21 13:34:00,308,voice
P005,P037,+91-90000-10005,+91-90000-10037,2026-08-19 18:36:00,656,voice
P004,P006,+91-90000-10004,+91-90000-10006,2026-08-16 06:38:00,173,voice
P002,P001,+91-90000-10002,+91-90000-10001,2026-06-27 14:43:00,370,voice
P009,P010,+91-90000-10009,+91-90000-10010,2026-06-22 12:06:00,775,voice
P006,P010,+91-90000-10006,+91-90000-10010,2026-06-20 16:04:00,810,voice
P007,P006,+91-90000-10007,+91-90000-10006,2026-06-06 01:40:00,612,voice
P003,P002,+91-90000-10003,+91-90000-10002,2026-08-19 21:13:00,225,voice
P008,P006,+91-90000-10008,+91-90000-10006,2026-07-05 11:39:00,353,voice
P006,P010,+91-90000-10006,+91-90000-10010,2026-08-08 14:30:00,503,voice
P003,P004,+91-90000-10003,+91-90000-10004,2026-07-01 05:33:00,356,voice
P007,P010,+91-90000-10007,+91-90000-10010,2026-06-26 15:48:00,378,voice
P001,P031,+91-90000-10001,+91-90000-10031,2026-06-19 22:53:00,220,voice
P003,P012,+91-90000-10003,+91-90000-10012,2026-07-26 22:15:00,847,voice
