entity_id,entity_type,source,source_id
P001,person,master,P001
P001,phone,cdr,+91-90000-10001
P001,vehicle,vehicle,DL11AB1001
P001,bank_account,finance,ACC100001
P001,social_account,social,user_001
P002,person,master,P002
P002,phone,cdr,+91-90000-10002
P002,vehicle,vehicle,KA12AB1002
P002,bank_account,finance,ACC100002
P002,social_account,social,user_002
P003,person,master,P003
P003,phone,cdr,+91-90000-10003
P003,vehicle,vehicle,GJ13AB1003
P003,bank_account,finance,ACC100003
P003,social_account,social,user_003
P004,person,master,P004
P004,phone,cdr,+91-90000-10004
P004,vehicle,vehicle,MH14AB1004
P004,bank_account,finance,ACC100004
P004,social_account,social,user_004
P005,person,master,P005
P005,phone,cdr,+91-90000-10005
P005,vehicle,vehicle,DL15AB1005
P005,bank_account,finance,ACC100005
P005,social_account,social,user_005
P006,person,master,P006
P006,phone,cdr,+91-90000-10006
P006,vehicle,vehicle,KA16AB1006
P006,bank_account,finance,ACC100006
P006,social_account,social,user_006
P007,person,master,P007
P007,phone,cdr,+91-90000-10007
P007,vehicle,vehicle,GJ17AB1007
P007,bank_account,finance,ACC100007
P007,social_account,social,user_007
P008,person,master,P008
P008,phone,cdr,+91-90000-10008
P008,vehicle,vehicle,MH18AB1008
P008,bank_account,finance,ACC100008
P008,social_account,social,user_008
P009,person,master,P009
P009,phone,cdr,+91-90000-10009
P009,vehicle,vehicle,DL19AB1009
P009,bank_account,finance,ACC100009
P009,social_account,social,user_009
P010,person,master,P010
P010,phone,cdr,+91-90000-10010
P010,vehicle,vehicle,KA20AB1010
P010,bank_account,finance,ACC100010
P010,social_account,social,user_010
P011,person,master,P011
P011,phone,cdr,+91-90000-10011
P011,vehicle,vehicle,GJ21AB1011
P011,bank_account,finance,ACC100011
P011,social_account,social,user_011
P012,person,master,P012
P012,phone,cdr,+91-90000-10012
P012,vehicle,vehicle,MH22AB1012
P012,bank_account,finance,ACC100012
P012,social_account,social,user_012
P013,person,master,P013
P013,phone,cdr,+91-90000-10013
