sender_id,receiver_id,sender_account,receiver_account,amount,date
P004,P006,ACC100004,ACC100006,82918,2026-08-24
P035,P014,ACC100035,ACC100014,29981,2026-06-26
P005,P001,ACC100005,ACC100001,101797,2026-08-04
P002,P004,ACC100002,ACC100004,64303,2026-07-07
P006,P010,ACC100006,ACC100010,9332,2026-08-13
P006,P009,ACC100006,ACC100009,57829,2026-07-04
P006,P008,ACC100006,ACC100008,149067,2026-08-12
P010,P007,ACC100010,ACC100007,138797,2026-08-10
P007,P008,ACC100007,ACC100008,126189,2026-06-27
P047,P043,ACC100047,ACC100043,117376,2026-08-05
P003,P002,ACC100003,ACC100002,88064,2026-08-04
P001,P004,ACC100001,ACC100004,17179,2026-07-26
P007,P008,ACC100007,ACC100008,96127,2026-06-24
P004,P002,ACC100004,ACC100002,16654,2026-07-26
P002,P003,ACC100002,ACC100003,65045,2026-06-04
P009,P007,ACC100009,ACC100007,15306,2026-08-24
P009,P006,ACC100009,ACC100006,142467,2026-07-13
P008,P007,ACC100008,ACC100007,54369,2026-06-04
P006,P003,ACC100006,ACC100003,148596,2026-08-10
P006,P009,ACC100006,ACC100009,60273,2026-08-22
P001,P002,ACC100001,ACC100002,61600,2026-08-12
P001,P006,ACC100001,ACC100006,98132,2026-07-15
P048,P019,ACC100048,ACC100019,118532,2026-07-26
P006,P007,ACC100006,ACC100007,18164,2026-06-25
P029,P002,ACC100029,ACC100002,29021,2026-08-06
P047,P050,ACC100047,ACC100050,94609,2026-06-01
P003,P006,ACC100003,ACC100006,106030,2026-06-03
P006,P009,ACC100006,ACC100009,137391,2026-07-07
P006,P005,ACC100006,ACC100005,18554,2026-06-02
P002,P005,ACC100002,ACC100005,80089,2026-08-04
P006,P012,ACC100006,ACC100012,100648,2026-07-06
P028,P042,ACC100028,ACC100042,110765,2026-07-03
P002,P001,ACC100002,ACC100001,46315,2026-06-18
P014,P022,ACC100014,ACC100022,86579,2026-07-02
P013,P035,ACC100013,ACC100035,21725,2026-07-10
P006,P004,ACC100006,ACC100004,81373,2026-08-05
P010,P023,ACC100010,ACC100023,116329,2026-08-02
P008,P009,ACC100008,ACC100009,91756,2026-07-01
P016,P037,ACC100016,ACC100037,107740,2026-06-18
P031,P008,ACC100031,ACC100008,117131,2026-06-24
P006,P003,ACC100006,ACC100003,1365,2026-08-01
P003,P006,ACC100003,ACC100006,138367,2026-06-27
P004,P001,ACC100004,ACC100001,57001,2026-06-05
P010,P008,ACC100010,ACC100008,58426,2026-08-24
P034,P015,ACC100034,ACC100015,136877,2026-07-03
P005,P004,ACC100005,ACC100004,64605,2026-08-24
P006,P003,ACC100006,ACC100003,97916,2026-06-08
P005,P004,ACC100005,ACC100004,88814,2026-06-08
P001,P006,ACC100001,ACC100006,66412,2026-06-01
P005,P004,ACC100005,ACC100004,39237,2026-08-23
P003,P001,ACC100003,ACC100001,146969,2026-06-07
P009,P008,ACC100009,ACC100008,5594,2026-08-21
P004,P005,ACC100004,ACC100005,41903,2026-08-10
P006,P010,ACC100006,ACC100010,115847,2026-07-09
P032,P016,ACC100032,ACC100016,95831,2026-08-19
P003,P005,ACC100003,ACC100005,113512,2026-08-23
P008,P007,ACC100008,ACC100007,49659,2026-06-01
P012,P011,ACC100012,ACC100011,75558,2026-08-18
P006,P002,ACC100006,ACC100002,45032,2026-08-04
P003,P034,ACC100003,ACC100034,53904,2026-08-01
P007,P006,ACC100007,ACC100006,82745,2026-06-25
P004,P002,ACC100004,ACC100002,79425,2026-07-26
P006,P008,ACC100006,ACC100008,99086,2026-07-23
P006,P002,ACC100006,ACC100002,112865,2026-06-03
P002,P003,ACC100002,ACC100003,144135,2026-08-06
P033,P030,ACC100033,ACC100030,73448,2026-07-19
P005,P002,ACC100005,ACC100002,117242,2026-06-08
P027,P048,ACC100027,ACC100048,98545,2026-06-10
P006,P007,ACC100006,ACC100007,4740,2026-06-14
P008,P007,ACC100008,ACC100007,80516,2026-08-15
P034,P019,ACC100034,ACC100019,97462,2026-08-03
P001,P005,ACC100001,ACC100005,138635,2026-08-10
P038,P002,ACC100038,ACC100002,14439,2026-07-16
P010,P008,ACC100010,ACC100008,72927,2026-07-10
P007,P006,ACC100007,ACC100006,27280,2026-07-23
P013,P032,ACC100013,ACC100032,121786,2026-07-14
P001,P003,ACC100001,ACC100003,129448,2026-07-11
P004,P003,ACC100004,ACC100003,104694,2026-08-23
P003,P006,ACC100003,ACC100006,50912,2026-07-10
P008,P014,ACC100008,ACC100014,18640,2026-08-27
P001,P003,ACC100001,ACC100003,131109,2026-07-21
P007,P009,ACC100007,ACC100009,65197,2026-07-01
P004,P005,ACC100004,ACC100005,46177,2026-08-21
P040,P028,ACC100040,ACC100028,74275,2026-07-03
P042,P002,ACC100042,ACC100002,123261,2026-08-25
P011,P031,ACC100011,ACC100031,41344,2026-07-18
P002,P004,ACC100002,ACC100004,9547,2026-06-12
P006,P003,ACC100006,ACC100003,10106,2026-07-14
P005,P004,ACC100005,ACC100004,140717,2026-06-05
P004,P006,ACC100004,ACC100006,92594,2026-07-09
P002,P006,ACC100002,ACC100006,113520,2026-08-15
P002,P006,ACC100002,ACC100006,144571,2026-06-12
P008,P006,ACC100008,ACC100006,121631,2026-08-17
P010,P007,ACC100010,ACC100007,77668,2026-06-04
P005,P038,ACC100005,ACC100038,87660,2026-08-25
P009,P008,ACC100009,ACC100008,137928,2026-07-11
P003,P005,ACC100003,ACC100005,74840,2026-07-03
P010,P008,ACC100010,ACC100008,65570,2026-08-07
P004,P002,ACC100004,ACC100002,46907,2026-07-16
P006,P001,ACC100006,ACC100001,131552,2026-07-14
P007,P006,ACC100007,ACC100006,105977,2026-07-27
P003,P002,ACC100003,ACC100002,1859,2026-08-20
P001,P003,ACC100001,ACC100003,52148,2026-08-22
P007,P008,ACC100007,ACC100008,25127,2026-06-08
P006,P010,ACC100006,ACC100010,105987,2026-08-01
P015,P033,ACC100015,ACC100033,126534,2026-06-08
P006,P002,ACC100006,ACC100002,138197,2026-08-08
P008,P009,ACC100008,ACC100009,108094,2026-07-13
P009,P010,ACC100009,ACC100010,4696,2026-07-27
P005,P001,ACC100005,ACC100001,23606,2026-07-04
P002,P003,ACC100002,ACC100003,11578,2026-06-11
P006,P009,ACC100006,ACC100009,80119,2026-08-25
P006,P004,ACC100006,ACC100004,58926,2026-08-27
P001,P004,ACC100001,ACC100004,59816,2026-07-07
P013,P034,ACC100013,ACC100034,145767,2026-06-01
P038,P047,ACC100038,ACC100047,69311,2026-08-27
P006,P010,ACC100006,ACC100010,82906,2026-08-12
P003,P004,ACC100003,ACC100004,52772,2026-07-10
P049,P027,ACC100049,ACC100027,76388,2026-08-08
P008,P010,ACC100008,ACC100010,23904,2026-08-14
P012,P029,ACC100012,ACC100029,45123,2026-08-14
P003,P004,ACC100003,ACC100004,68058,2026-07-09
P049,P019,ACC100049,ACC100019,109809,2026-07-26
P001,P002,ACC100001,ACC100002,100774,2026-07-14
P004,P005,ACC100004,ACC100005,31555,2026-07-06
P009,P006,ACC100009,ACC100006,14036,2026-06-14
P003,P015,ACC100003,ACC100015,64987,2026-07-08
P014,P046,ACC100014,ACC100046,146354,2026-06-11
P044,P046,ACC100044,ACC100046,96063,2026-06-18
P006,P001,ACC100006,ACC100001,12932,2026-07-03
